driver_id,total_fare,avg_distance
51,14.23,33.17
42,129.56,5.91
73,137.55,38.75
8,124.25,30.555
28,103.27,1.4
52,7.27,32.02
98,51.53,47.05
5,61.54,5.87
31,18.2,39.18
70,143.46,30.35
27,32.62,25.51
17,91.9,39.75
77,79.71,1.65
60,61.26,27.68
23,263.05,23.09
55,47.98,10.5
93,165.93,13.489999999999998
38,124.7,15.82
25,14.04,46.26
53,121.55,48.8
58,52.19,24.59
33,118.77,35.916666666666664
48,108.47,2.63
97,62.98,8.25
67,77.46,33.95
84,189.56,24.445
79,35.4,4.03
24,34.0,26.66
32,146.09,16.55
10,47.739999999999995,29.5
49,146.61,5.66
63,75.05,34.06
65,145.2,38.15
12,122.41,14.17
14,11.05,29.93
72,65.9,4.85
76,109.42,33.52
